ITEM_CODE,STAGE,PROCESS,QUANTITY,LEAD_TIME_ESTIMATE,PARALLEL_STEPS,CAN_PARALLELIZE,OPEN_QTY,URGENCY,START_DATE,EST_COMPLETION
ABB449,RFM,Ready for Machining (OUT-EAGLE),4.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB456,RFM,Ready for Machining (HM07),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB457,RFM,Ready for Machining (SANPOWER),34.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB458,RFM,Ready for Machining (TC01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB459,RFM,Ready for Machining (RADIENT),18.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB460,RFM,Ready for Machining (TC01),13.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB461,RFM,Ready for Machining (TC01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB463,RFM,Ready for Machining (HM01),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB471,RFM,Ready for Machining (HM10),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB473,RFM,Ready for Machining (OUT-EAGLE),10.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB477,RFM,Ready for Machining (HM10),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB478,RFM,Ready for Machining (TC01),8.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE130,RFM,Ready for Machining (HM04),7.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE234,RFM,Ready for Machining (VM01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE236,RFM,Ready for Machining (TC01),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE237,RFM,Ready for Machining (HM04),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE239,RFM,Ready for Machining (TC01),3.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE243,RFM,Ready for Machining (HM10),3.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE244,RFM,Ready for Machining (VM01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE245,RFM,Ready for Machining (VM01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE246,RFM,Ready for Machining (VM01),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE250,RFM,Ready for Machining (HM06),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE252,RFM,Ready for Machining (TC01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE257,RFM,Ready for Machining (OUT-RY),32.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE258,RFM,Ready for Machining (TC01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE259,RFM,Ready for Machining (HM04),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE262,RFM,Ready for Machining (VM01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE263,RFM,Ready for Machining (HM05),5.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE266,RFM,Ready for Machining (VM01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE317,RFM,Ready for Machining (TC01),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE320,RFM,Ready for Machining (HM10),27.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE321,RFM,Ready for Machining (OUT-RY),30.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE326,RFM,Ready for Machining (HM07),4.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE327,RFM,Ready for Machining (HM04),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE376,RFM,Ready for Machining (RADIENT),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE380,RFM,Ready for Machining (HM03),4.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ARE382,RFM,Ready for Machining (HM03),3.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
