ITEM_1,ITEM_2,ITEM_1_PROCESSES,ITEM_2_PROCESSES,RESOURCE_CONFLICT,CAN_RUN_PARALLEL
ARE330,ABB402,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80","Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 9.58438","193, 49.66, 70, 2, 9.58438",False
ARE330,ABB405,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80",Ready for Machining (OUT-DYNO),No,True
ARE330,ABB420,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80",Ready for Machining (HM10),No,True
ARE330,ABB429,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80","154, 40, 60, 140, 9.58438, 1, Ready for Machining (HM02), 17, 130, 110, 193, 49.66, 70, 2, 4, 120, 80","154, 80, 40, 60, 17, 1, 110, 4, 193, 49.66, 70, 2, 140, 9.58438",False
ARE330,ABB435,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80","154, 60, 9.58438, 17, 110, 4, 193, 49.66, 70, 2, Ready for Machining (HM07), 80","154, 60, 17, 110, 193, 49.66, 70, 2, 4, 80, 9.58438",False
ARE330,ABB439,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80","154, 17, Ready for Machining (HM02), 100, 193, 49.66, 70, 9.58438","154, 17, 193, 49.66, 70, 9.58438",False
ARE330,ABB447,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80",Ready for Machining (HM07),No,True
ARE330,ABB448,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80","154, 60, 50, 9.58438, 17, Ready for Machining (HM10), 110, 193, 49.66, 4, 80","154, 60, 17, 110, 193, 49.66, 4, 80, 9.58438",False
ARE330,ABB449,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80",Ready for Machining (OUT-EAGLE),No,True
ARE330,ABB456,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80","154, 40, 60, 50, 9.58438, 17, 110, 4, 193, 49.66, 70, 2, Ready for Machining (HM07), 80","154, 40, 60, 17, 110, 193, 49.66, 70, 2, 4, 80, 9.58438",False
ARE330,ABB457,"154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80","90, 40, Ready for Machining (SANPOWER), 17, 110, 100, 193, 49.66, 70, 2, 4, 9.58438","40, 17, 110, 4, 193, 49.66, 70, 2, 9.58438",False
HYO025,HYO026,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","20, 154, 30, 60, 50, 1, 17, 100, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 9.58438","20, 154, 60, 50, 1, 17, 100, Ready for Machining (OUT-DYNO), 4, 193, 49.66, 70, 2, 9.58438",False
HYO025,SIE469,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","90, 154, 40, 60, 9.58438, 17, 110, Ready for Machining (OUT-EAGLE), 193, 49.66, 70, 2, 4, 80","154, 40, 60, 17, 110, 4, 193, 49.66, 70, 2, 80, 9.58438",False
HYO025,ABB401,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80",Ready for Machining (OUT-DYNO),Ready for Machining (OUT-DYNO),False
HYO025,ABB402,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 9.58438","Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 9.58438",False
HYO025,ABB405,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80",Ready for Machining (OUT-DYNO),Ready for Machining (OUT-DYNO),False
HYO025,ABB420,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80",Ready for Machining (HM10),No,True
HYO025,ABB429,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","154, 40, 60, 140, 9.58438, 1, Ready for Machining (HM02), 17, 130, 110, 193, 49.66, 70, 2, 4, 120, 80","154, 40, 60, 1, 17, 110, 4, 193, 49.66, 70, 2, 80, 9.58438",False
HYO025,ABB435,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","154, 60, 9.58438, 17, 110, 4, 193, 49.66, 70, 2, Ready for Machining (HM07), 80","154, 60, 17, 110, 193, 49.66, 70, 2, 4, 80, 9.58438",False
HYO025,ABB439,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","154, 17, Ready for Machining (HM02), 100, 193, 49.66, 70, 9.58438","154, 17, 100, 193, 49.66, 70, 9.58438",False
HYO025,ABB447,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80",Ready for Machining (HM07),No,True
HYO025,ABB448,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","154, 60, 50, 9.58438, 17, Ready for Machining (HM10), 110, 193, 49.66, 4, 80","154, 60, 50, 17, 110, 193, 49.66, 4, 80, 9.58438",False
HYO025,ABB449,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80",Ready for Machining (OUT-EAGLE),No,True
HYO025,ABB456,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","154, 40, 60, 50, 9.58438, 17, 110, 4, 193, 49.66, 70, 2, Ready for Machining (HM07), 80","154, 40, 60, 50, 17, 110, 193, 49.66, 70, 2, 4, 80, 9.58438",False
HYO025,ABB457,"20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","90, 40, Ready for Machining (SANPOWER), 17, 110, 100, 193, 49.66, 70, 2, 4, 9.58438","40, 17, 110, 100, 4, 193, 49.66, 70, 2, 9.58438",False
HYO026,SIE469,"20, 154, 30, 60, 50, 1, 17, 100, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 9.58438","90, 154, 40, 60, 9.58438, 17, 110, Ready for Machining (OUT-EAGLE), 193, 49.66, 70, 2, 4, 80","154, 60, 17, 4, 193, 49.66, 70, 2, 9.58438",False
HYO026,ABB401,"20, 154, 30, 60, 50, 1, 17, 100, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 9.58438",Ready for Machining (OUT-DYNO),Ready for Machining (OUT-DYNO),False
HYO026,ABB402,"20, 154, 30, 60, 50, 1, 17, 100, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 9.58438","Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 9.58438","Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 9.58438",False
HYO026,ABB405,"20, 154, 30, 60, 50, 1, 17, 100, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 9.58438",Ready for Machining (OUT-DYNO),Ready for Machining (OUT-DYNO),False
HYO026,ABB420,"20, 154, 30, 60, 50, 1, 17, 100, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 9.58438",Ready for Machining (HM10),No,True
