ITEM_1,ITEM_2,ITEM_1_URGENCY,ITEM_2_URGENCY,ITEM_1_PROCESSES,ITEM_2_PROCESSES,ITEM_1_MACHINES,ITEM_2_MACHINES,PROCESS_CONFLICTS,MACHINE_CONFLICTS,CAN_RUN_PARALLEL,SEQUENTIAL_TIME_DAYS,PARALLEL_TIME_DAYS,TIME_SAVED_DAYS,EFFICIENCY_GAIN_PCT
TOS013,HYO025,CRITICAL,CRITICAL,"4, 154, 80, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","4, 110, 80, 154, Ready for Machining (OUT-DYNO), 17, 2, 50, 9.58438, 193, 60, 40, 49.66, 20, 1, 100, 70","OUT-DYNO, GENERAL","OUT-DYNO, GENERAL","4, 154, 80, Ready for Machining (OUT-DYNO), 50, 9.58438, 193, 60, 49.66, 1, 2, 20, 70","OUT-DYNO, GENERAL",False,543.0,315.0,228.0,41.99
TOS013,HYO026,CRITICAL,CRITICAL,"4, 154, 80, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","100, 4, 154, 17, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","OUT-DYNO, GENERAL","OUT-DYNO, GENERAL","4, 154, Ready for Machining (OUT-DYNO), 30, 50, 9.58438, 193, 60, 49.66, 1, 2, 20, 70","OUT-DYNO, GENERAL",False,543.0,315.0,228.0,41.99
ABB429,ABB435,CRITICAL,CRITICAL,"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70","HM02, GENERAL","GENERAL, HM07","154, 110, 80, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",,False,60.5,35.1,25.4,41.98
ABB429,ABB457,CRITICAL,CRITICAL,"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70","HM02, GENERAL","SANPOWER, GENERAL","110, 2, 9.58438, 193, 40, 49.66, 4, 17, 70",,False,60.5,35.1,25.4,41.98
ABB435,ABB439,CRITICAL,CRITICAL,"Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70","100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70","GENERAL, HM07","HM02, GENERAL","154, 9.58438, 193, 49.66, 17, 70",,False,43.0,25.4,17.6,40.93
ABB439,ABB457,CRITICAL,CRITICAL,"100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70","110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70","HM02, GENERAL","SANPOWER, GENERAL","17, 9.58438, 193, 49.66, 100, 70",,False,43.0,25.4,17.6,40.93
ABB429,ABB448,CRITICAL,CRITICAL,"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17","HM02, GENERAL","HM10, GENERAL","154, 110, 80, 9.58438, 193, 60, 49.66, 4, 17",,False,58.5,35.1,23.4,40.0
ABB436,ARE255,CRITICAL,CRITICAL,"110, 80, 154, 17, 9.58438, 193, 49.66, 2, Ready for Machining (HM01), 100","110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70","GENERAL, HM01","HM02, GENERAL","154, 110, 80, 9.58438, 193, 49.66, 2, 17",,False,573.0,345.0,228.0,39.79
ABB436,ARE330,CRITICAL,CRITICAL,"110, 80, 154, 17, 9.58438, 193, 49.66, 2, Ready for Machining (HM01), 100","110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70","GENERAL, HM01","HM05, GENERAL","154, 110, 80, 9.58438, 193, 49.66, 2, 17",,False,573.0,345.0,228.0,39.79
ABB436,HYO025,CRITICAL,CRITICAL,"110, 80, 154, 17, 9.58438, 193, 49.66, 2, Ready for Machining (HM01), 100","4, 110, 80, 154, Ready for Machining (OUT-DYNO), 17, 2, 50, 9.58438, 193, 60, 40, 49.66, 20, 1, 100, 70","GENERAL, HM01","OUT-DYNO, GENERAL","154, 110, 80, 17, 9.58438, 193, 49.66, 2, 100",,False,573.0,345.0,228.0,39.79
