ITEM_CODE,STAGE,PROCESS,QTY,TONNAGE,DATE,AGING
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,23.28845177082985
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,22.88781600694347
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,22.77087118055351
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,19.46812900462828
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,5.614843738425407
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,5.616349710646318
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,8.497778136574198
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,8.49663616898033
ARE237,WIP_DM,100,1.0,0.0117,2025-07-24 02:16:02.776987,12.2370390162032
ARE316,WIP_DM,100,1.0,0.0233,2025-07-24 02:16:02.776987,6.065274467589916
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,37.56204368055478
MEI001,WIP_DM,110,1.0,0.1482,2025-07-24 02:16:02.776987,39.04416574074276
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,19.80850461805676
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,18.10804651620128
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,19.5212811689853
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,21.44319356481719
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,20.0857260763878
MEI001,WIP_DM,100,1.0,0.1482,2025-07-24 02:16:02.776987,40.66466543981369
ARE234,WIP_DM,110,1.0,0.009330999999999999,2025-07-24 02:16:02.776987,24.58054563657788
CGP008,WIP_DM,110,1.0,0.058,2025-07-24 02:16:02.776987,62.57512508102081
CGP008,WIP_DM,110,1.0,0.058,2025-07-24 02:16:02.776987,57.2992680092575
CGP008,WIP_DM,110,1.0,0.058,2025-07-24 02:16:02.776987,57.34141076388914
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,14.76435033565213
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,14.76619834490702
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,8.510449259258166
ARE237,WIP_DM,100,1.0,0.0117,2025-07-24 02:16:02.776987,12.23815092592849
ARE237,WIP_DM,100,1.0,0.0117,2025-07-24 02:16:02.776987,18.39837914351665
ARE454,WIP_DM,110,1.0,0.063,2025-07-24 02:16:02.776987,16.40302430555312
MEI001,WIP_DM,110,1.0,0.1482,2025-07-24 02:16:02.776987,39.3398686458313
MEI001,WIP_DM,100,1.0,0.1482,2025-07-24 02:16:02.776987,20.03607496527547
MEI001,WIP_DM,100,1.0,0.1482,2025-07-24 02:16:02.776987,40.30210056713258
MEI001,WIP_DM,110,1.0,0.1482,2025-07-24 02:16:02.776987,39.56016384259419
MEI001,WIP_DM,100,1.0,0.1482,2025-07-24 02:16:02.776987,37.56043822916399
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,36.53392881944455
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,26.4271325462978
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,47.43582978009363
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,34.18758818287461
MEI001,WIP_DM,110,1.0,0.1482,2025-07-24 02:16:02.776987,39.78833438657603
ARE234,WIP_DM,110,1.0,0.009330999999999999,2025-07-24 02:16:02.776987,20.25687064814701
ARE234,WIP_DM,110,1.0,0.009330999999999999,2025-07-24 02:16:02.776987,24.38251591435255
ARE234,WIP_DM,110,1.0,0.009330999999999999,2025-07-24 02:16:02.776987,24.58437116898131
ARE234,WIP_DM,110,1.0,0.009330999999999999,2025-07-24 02:16:02.776987,20.25352378471871
ARE234,WIP_DM,110,1.0,0.009330999999999999,2025-07-24 02:16:02.776987,25.09015035879565
ARE234,WIP_DM,110,1.0,0.009330999999999999,2025-07-24 02:16:02.776987,24.43166418981855
ARE234,WIP_DM,110,1.0,0.009330999999999999,2025-07-24 02:16:02.776987,24.57919888888864
ARE316,WIP_DM,100,1.0,0.0233,2025-07-24 02:16:02.776987,6.065746874999604
SIE463,WIP_DM,110,1.0,0.5177999999999999,2025-07-24 02:16:02.776987,30.38218135416537
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,39.70007769676158
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,24.65322074074356
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,27.21641868055303
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,41.65919353009667
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,36.57755246527813
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,36.57068528934906
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,8.507670648148633
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,10.3219787962953
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,26.46970489583327
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,24.65406101851841
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,26.470504016208
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,39.80831763889
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,25.45660062500247
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,22.52346495370148
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,37.59485813657375
SIE463,WIP_DM,110,1.0,0.5177999999999999,2025-07-24 02:16:02.776987,47.76488913194044
SIE463,WIP_DM,110,1.0,0.5177999999999999,2025-07-24 02:16:02.776987,29.96646250000049
SIE463,WIP_DM,110,1.0,0.5177999999999999,2025-07-24 02:16:02.776987,29.23850197916909
ABB459,WIP_DM,110,1.0,0.47642,2025-07-24 02:16:02.776987,19.24082185185398
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.29262862268661
ABB459,WIP_DM,100,1.0,0.47642,2025-07-24 02:16:02.776987,12.74087923610932
ABB459,WIP_DM,110,1.0,0.47642,2025-07-24 02:16:02.776987,17.25128092592786
SIE579,WIP_DM,110,1.0,0.058,2025-07-24 02:16:02.776987,11.08327914351685
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,19.96502741897712
ABB459,WIP_DM,100,1.0,0.47642,2025-07-24 02:16:02.776987,14.77439170138677
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,19.02213274305541
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,18.85204248842638
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,23.59978416666854
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,21.55728791666479
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,21.83200435185427
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.20060203703906
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.46169708333036
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,26.40476319444133
